"RESOURCE ID","RESOURCE NAME","RESOURCE PMAX MW","RESOURCEBID_SEQ","seq_max_mw","rank","n_matches","mean_pct_err","score","confidence"
"DRUM_7_PL1X2","Drum PH 1 Units 1 & 2 Aggregate",26,591854,26.65,1,2,0.0107692307692308,1.97846153846154,0.00155520995334368
"DRUM_7_PL1X2","Drum PH 1 Units 1 & 2 Aggregate",26,455287,28,2,2,0.0123076923076923,1.97538461538462,NA
"DRUM_7_PL1X2","Drum PH 1 Units 1 & 2 Aggregate",26,975528,26,3,2,0.0142307692307692,1.97153846153846,NA
"DRUM_7_PL1X2","Drum PH 1 Units 1 & 2 Aggregate",26,165103,24,4,2,0.0153846153846154,1.96923076923077,NA
"DRUM_7_PL1X2","Drum PH 1 Units 1 & 2 Aggregate",26,517313,23.66,5,2,0.0180769230769231,1.96384615384615,NA
"DRUM_7_PL3X4","Drum PH 1 Units 3 & 4 Aggregate",28.9,171240,27,1,5,0.00155038759689935,4.9922480620155,0.0148805542283804
"DRUM_7_PL3X4","Drum PH 1 Units 3 & 4 Aggregate",28.9,620521,30,2,5,0.016407871198569,4.91796064400716,NA
"DRUM_7_PL3X4","Drum PH 1 Units 3 & 4 Aggregate",28.9,415983,28.9,3,4,1.11022302462516e-16,4,NA
"DRUM_7_PL3X4","Drum PH 1 Units 3 & 4 Aggregate",28.9,654478,30,4,4,0.024762969588551,3.9009481216458,NA
"DRUM_7_PL3X4","Drum PH 1 Units 3 & 4 Aggregate",28.9,591854,26.65,5,2,0.0195033914728682,1.96099321705426,NA
"DSFLWR_2_WS2SR1","Willow Springs 2",100,105576,91,1,2,0.00398406374501995,1.99203187250996,0.0331666666666668
"DSFLWR_2_WS2SR1","Willow Springs 2",100,173313,100,2,2,0.0370185922974768,1.92596281540505,NA
"DSRTSL_2_SOLAR1","Desert Stateline",296.19,201021,276,1,4,0.032973574300324,3.8681057027987,0.231773472801086
"DSRTSL_2_SOLAR1","Desert Stateline",296.19,254978,271.74,2,3,0.00947286303354512,2.97158141089936,NA
"DSRTSL_2_SOLAR1","Desert Stateline",296.19,158253,275,3,3,0.0141535718265909,2.95753928452023,NA
