"RESOURCE ID","RESOURCE NAME","total_curtailment_events","RESOURCEBID_SEQ","n_matches","confidence","score"
"OTMESA_2_PL1X3","OTAY MESA ENERGY CENTER",11,304325,6,0.000580939593054497,5.970819135361
"OXBOW_6_DRUM","OXBOW HYDRO",1,NA,NA,NA,NA
"OXMTN_6_LNDFIL","Ox Mountain Landfill Generating Plant",2,153153,2,1,1.94953216374269
"PACLUM_6_UNIT","Humboldt Redwood",33,198465,9,0.092421052631579,8.63636363636364
"PALA_6_PGCBT1","Pala Gomez Creek BESS",13,385155,8,0.253499874256015,7.88955026455027
"PALOMR_2_PL1X3","Palomar Energy Center",21,844371,8,0.00636621877061516,7.75075122951836
"PARDEB_6_UNITS","Pardee Power House",12,183275,5,0.592289655103158,4.90544334975369
"PARDSE_6_PESBT1","Paradise Energy Storage",7,347450,5,0.194858742802688,4.80279823269514
"PEORIA_1_SOLAR","Sonora 1",1,NA,NA,NA,NA
"PINFLT_7_UNITS","PINE FLAT HYDRO AGGREGATE",6,122732,2,0.0160460187708144,1.95733333333333
"PIOPIC_2_CTG1","Pio Pico Unit 1",3,NA,NA,NA,NA
"PIOPIC_2_CTG2","Pio Pico Unit 2",1,NA,NA,NA,NA
